_ - name,rank,enlabel,gov identfier,award,_ - external_url
FLIGHT LIEUTENANT ASHOK KUMAR SINGH,Flight Lieutenant ,Ashok Kumar Singh,flight-lieutenant-ashok-kumar-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-ashok-kumar-singh
FLIGHT LIEUTENANT ASPARI RAGHUNATH,Flight Lieutenant ,Aspari Raghunath,flight-lieutenant-aspari-raghunath,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-aspari-raghunath
FLIGHT LIEUTENANT ATANU GURU,Flight Lieutenant ,Atanu Guru,flight-lieutenant-atanu-guru,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-atanu-guru
FLIGHT LIEUTENANT AV SATHAYE,Flight Lieutenant Av Sathaye,A V Sathaye,flight-lieutenant-av-sathaye,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-av-sathaye
FLIGHT LIEUTENANT BHARAT BHUSHAN SONI,Flight Lieutenant ,Bharat Bhushan Soni,flight-lieutenant-bharat-bhushan-soni,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-bharat-bhushan-soni
FLIGHT LIEUTENANT BHUPINFRT,Flight Lieutenant ,Bhupinfrt,flight-lieutenant-bhupinfrt,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-bhupinfrt
FLIGHT LIEUTENANT CHANDRA MOHAN SINGLA,Flight Lieutenant ,Chandra Mohan Singla,flight-lieutenant-chandra-mohan-singla,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-chandra-mohan-singla
FLIGHT LIEUTENANT CHANDRA SEKHAR DORAISWAMI,Flight Lieutenant ,Chandra Sekhar Doraiswami,flight-lieutenant-chandra-sekhar-doraiswami,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-chandra-sekhar-doraiswami
FLIGHT LIEUTENANT CHERRY HASSANAND RANEY,Flight Lieutenant ,Cherry Hassanand Raney,flight-lieutenant-cherry-hassanand-raney,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-cherry-hassanand-raney
FLIGHT LIEUTENANT CHIDAMBARAM SARANGAPANI CHANDRASEKARAN,Flight Lieutenant ,Chidambaram Sarangapani Chandrasekaran,flight-lieutenant-chidambaram-sarangapani-chandrasekaran,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-chidambaram-sarangapani-chandrasekaran
FLIGHT LIEUTENANT DEV NATH RATHORE,Flight Lieutenant ,Dev Nath Rathore,flight-lieutenant-dev-nath-rathore,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-dev-nath-rathore
FLIGHT LIEUTENANT DIL MOHAN SINGH KAHAI,Flight Lieutenant ,Dil Mohan Singh Kahai,flight-lieutenant-dil-mohan-singh-kahai,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-dil-mohan-singh-kahai
FLIGHT LIEUTENANT DILIP KAMALAKAR DIGHE,Flight Lieutenant ,Dilip Kamalakar Dighe,flight-lieutenant-dilip-kamalakar-dighe,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-dilip-kamalakar-dighe
FLIGHT LIEUTENANT DINESH CHANDER NAYYAR,Flight Lieutenant ,Dinesh Chander Nayyar,flight-lieutenant-dinesh-chander-nayyar,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-dinesh-chander-nayyar
FLIGHT LIEUTENANT GANGADHAR RANGNATH RAILKAR,Flight Lieutenant ,Gangadhar Rangnath Railkar,flight-lieutenant-gangadhar-rangnath-railkar,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-gangadhar-rangnath-railkar
FLIGHT LIEUTENANT GOPAL KRISHNA GARUD,Flight Lieutenant ,Gopal Krishna Garud,flight-lieutenant-gopal-krishna-garud,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-gopal-krishna-garud
FLIGHT LIEUTENANT GOVIND CHANDRA SINGH RAJWAR,Flight Lieutenant ,Govind Chandra Singh Rajwar,flight-lieutenant-govind-chandra-singh-rajwar,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-govind-chandra-singh-rajwar
FLIGHT LIEUTENANT GURDEV SINGH RAI,Flight Lieutenant ,Gurdev Singh Rai,flight-lieutenant-gurdev-singh-rai,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-gurdev-singh-rai
FLIGHT LIEUTENANT HAMIR SINGH MANGAT G.D. (N),Flight Lieutenant  G.D. (n),Hamir Singh Mangat,flight-lieutenant-hamir-singh-mangat-gd-n,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-hamir-singh-mangat-gd-n
FLIGHT LIEUTENANT HARBANS PERMINDER SINGH,Flight Lieutenant ,Harbans Perminder Singh,flight-lieutenant-harbans-perminder-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-harbans-perminder-singh
FLIGHT LIEUTENANT HEMANT SHARAT KUMAR SARDESAI,Flight Lieutenant Hemant Sharat Kumar Sardesai,Hemant Sharat Kumar Sarai,flight-lieutenant-hemant-sharat-kumar-sardesai,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-hemant-sharat-kumar-sardesai
FLIGHT LIEUTENANT JAGDAMBA PRASAD SAKLANI,Flight Lieutenant ,Jagdamba Prasad Saklani,flight-lieutenant-jagdamba-prasad-saklani,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-jagdamba-prasad-saklani
FLIGHT LIEUTENANT KRISHAN KANT SAINI,Flight Lieutenant ,Krishan Kant Saini,flight-lieutenant-krishan-kant-saini,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-krishan-kant-saini
FLIGHT LIEUTENANT KUKKE SREEKANTASASTRY SURESH,Flight Lieutenant ,Kukke Sreekantasastry Suresh,flight-lieutenant-kukke-sreekantasastry-suresh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-kukke-sreekantasastry-suresh
FLIGHT LIEUTENANT KULDEEP SINGH SAHOTA,Flight Lieutenant ,Kuldeep Singh Sahota,flight-lieutenant-kuldeep-singh-sahota-0,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-kuldeep-singh-sahota-0
FLIGHT LIEUTENANT LAWRENCE FREDRIC PEREIRA,Flight Lieutenant ,Lawrence Fredric Pereira,flight-lieutenant-lawrence-fredric-pereira,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-lawrence-fredric-pereira
FLIGHT LIEUTENANT MAHABIR PRASAD PREMI,Flight Lieutenant ,Mahabir Prasad Premi,flight-lieutenant-mahabir-prasad-premi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-mahabir-prasad-premi
FLIGHT LIEUTENANT MANAVENDRA SINGH,Flight Lieutenant ,Manavendra Singh,flight-lieutenant-manavendra-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-manavendra-singh
FLIGHT LIEUTENANT MANBIR SINGH,Flight Lieutenant ,Manbir Singh,flight-lieutenant-manbir-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-manbir-singh
FLIGHT LIEUTENANT MANDEPANDA APPACHU GANAPATHY,Flight Lieutenant ,Mandepanda Appachu Ganapathy,flight-lieutenant-mandepanda-appachu-ganapathy,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-mandepanda-appachu-ganapathy
FLIGHT LIEUTENANT MANJIT SINGH DHILLON,Flight Lieutenant ,Manjit Singh Dhillon,flight-lieutenant-manjit-singh-dhillon,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-manjit-singh-dhillon
FLIGHT LIEUTENANT MANJIT SINGH SEKHON,Flight Lieutenant ,Manjit Singh Sekhon,flight-lieutenant-manjit-singh-sekhon,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-manjit-singh-sekhon
FLIGHT LIEUTENANT MELVINDER SINGH GREWAL,Flight Lieutenant ,Melvinder Singh Grewal,flight-lieutenant-melvinder-singh-grewal,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-melvinder-singh-grewal
FLIGHT LIEUTENANT MOHINDER SINGH SANDHU,Flight Lieutenant ,Mohinder Singh Sandhu,flight-lieutenant-mohinder-singh-sandhu,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-mohinder-singh-sandhu
FLIGHT LIEUTENANT NICODEMUS MANOHAR SAMUEL,Flight Lieutenant ,Nicodemus Manohar Samuel,flight-lieutenant-nicodemus-manohar-samuel,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-nicodemus-manohar-samuel
FLIGHT LIEUTENANT NIRAJ KUKREJA,Flight Lieutenant ,Niraj Kukreja,flight-lieutenant-niraj-kukreja,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-niraj-kukreja
FLIGHT LIEUTENANT NITIN GAJANAM JUNNARKAR,Flight Lieutenant ,Nitin Gajanam Junnarkar,flight-lieutenant-nitin-gajanam-junnarkar,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-nitin-gajanam-junnarkar
FLIGHT LIEUTENANT PARMINDER PAUL SINGH,Flight Lieutenant ,Parminder Paul Singh,flight-lieutenant-parminder-paul-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-parminder-paul-singh
FLIGHT LIEUTENANT PARTHA DAS GUPTA,Flight Lieutenant ,Partha Das Gupta,flight-lieutenant-partha-das-gupta,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-partha-das-gupta
FLIGHT LIEUTENANT PARVEZ RUSTOM JAMASJI,Flight Lieutenant ,Parvez Rustom Jamasji,flight-lieutenant-parvez-rustom-jamasji,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-parvez-rustom-jamasji
FLIGHT LIEUTENANT PRADIP VINAYAK,Flight Lieutenant ,Pradip Vinayak,flight-lieutenant-pradip-vinayak,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-pradip-vinayak
FLIGHT LIEUTENANT PRADYOT DASTIDAR,Flight Lieutenant ,Pradyot Dastidar,flight-lieutenant-pradyot-dastidar,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-pradyot-dastidar
FLIGHT LIEUTENANT PRAKASH PINGALE,Flight Lieutenant ,Prakash Pingale,flight-lieutenant-prakash-pingale,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-prakash-pingale
FLIGHT LIEUTENANT PRAMOD CHANDRA CHOPRA,Flight Lieutenant ,Pramod Chandra Chopra,flight-lieutenant-pramod-chandra-chopra,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-pramod-chandra-chopra
FLIGHT LIEUTENANT PREM BHUSHAN KALRA,Flight Lieutenant ,Prem Bhushan Kalra,flight-lieutenant-prem-bhushan-kalra,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-prem-bhushan-kalra
FLIGHT LIEUTENANT PUSHAP KUMAR VAID,Flight Lieutenant ,Pushap Kumar Vaid,flight-lieutenant-pushap-kumar-vaid,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-pushap-kumar-vaid
FLIGHT LIEUTENANT RAJENDRA SINGH WAHI,Flight Lieutenant ,Rajendra Singh Wahi,flight-lieutenant-rajendra-singh-wahi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-rajendra-singh-wahi
FLIGHT LIEUTENANT RAMESH CHANDER GOSAIN,Flight Lieutenant ,Ramesh Chander Gosain,flight-lieutenant-ramesh-chander-gosain,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-ramesh-chander-gosain
FLIGHT LIEUTENANT ROBINDRA KUMAR SINHA,Flight Lieutenant ,Robindra Kumar Sinha,flight-lieutenant-robindra-kumar-sinha,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-robindra-kumar-sinha
FLIGHT LIEUTENANT ROY ANDREW MASSEY,Flight Lieutenant Roy Andrew Massey,RAndrew Massey,flight-lieutenant-roy-andrew-massey,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-roy-andrew-massey
FLIGHT LIEUTENANT SHARADCHANDRA NARESH DESHPANDE,Flight Lieutenant Sharadchandra Naresh Deshpande,Sharadchandra Naresh hpande,flight-lieutenant-sharadchandra-naresh-deshpande,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-sharadchandra-naresh-deshpande
FLIGHT LIEUTENANT SOMAR BIKRAM SHAH,Flight Lieutenant ,Somar Bikram Shah,flight-lieutenant-somar-bikram-shah,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-somar-bikram-shah
FLIGHT LIEUTENANT SUKRUTARAJ JAYANDRA,Flight Lieutenant ,Sukrutaraj Jayandra,flight-lieutenant-sukrutaraj-jayandra,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-sukrutaraj-jayandra
FLIGHT LIEUTENANT SURINDER SINGH MALHOTRA,Flight Lieutenant ,Surinder Singh Malhotra,flight-lieutenant-surinder-singh-malhotra,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-surinder-singh-malhotra
FLIGHT LIEUTENANT SYED SHAHID HUSSAIN NAQVI,Flight Lieutenant ,Syed Shahid Hussain Naqvi,flight-lieutenant-syed-shahid-hussain-naqvi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-syed-shahid-hussain-naqvi
FLIGHT LIEUTENANT TRILOCHAN SINGH,Flight Lieutenant ,Trilochan Singh,flight-lieutenant-trilochan-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-trilochan-singh
FLIGHT LIEUTENANT VIJAY KUMAR WAHI,Flight Lieutenant ,Vijay Kumar Wahi,flight-lieutenant-vijay-kumar-wahi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vijay-kumar-wahi
FLIGHT LIEUTENANT VINAYAK BHIWAJI SAWANT,Flight Lieutenant ,Vinayak Bhiwaji Sawant,flight-lieutenant-vinayak-bhiwaji-sawant,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vinayak-bhiwaji-sawant
FLIGHT LIEUTENANT VINEY KAPILA,Flight Lieutenant ,Viney Kapila,flight-lieutenant-viney-kapila,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-viney-kapila
FLIGHT LIEUTENANT VINOD KUMAR BHATIA,Flight Lieutenant ,Vinod Kumar Bhatia,flight-lieutenant-vinod-kumar-bhatia,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vinod-kumar-bhatia
FLIGHT LIEUTENANT VINOD KUMAR NEB,Flight Lieutenant ,Vinod Kumar Neb,flight-lieutenant-vinod-kumar-neb,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vinod-kumar-neb
FLIGHT LIEUTENANT VINOD PATNEY,Flight Lieutenant ,Vinod Patney,flight-lieutenant-vinod-patney,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vinod-patney
FLIGHT LIEUTENANT VIRENDER SINGH PATHANIA,Flight Lieutenant ,Virender Singh Pathania,flight-lieutenant-virender-singh-pathania,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-virender-singh-pathania
FLIGHT LIEUTENANT VISHWANATH PRAKASH,Flight Lieutenant ,Vishwanath Prakash,flight-lieutenant-vishwanath-prakash,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-vishwanath-prakash
FLIGHT LIEUTENANT WINSTON RABINDER SANJEEVA RAO,Flight Lieutenant ,Winston Rabinder Sanjeeva Rao,flight-lieutenant-winston-rabinder-sanjeeva-rao,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-winston-rabinder-sanjeeva-rao
FLIGHT LIEUTENANT YOGENDRA PRASAD SINGH,Flight Lieutenant ,Yogendra Prasad Singh,flight-lieutenant-yogendra-prasad-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-lieutenant-yogendra-prasad-singh
FLIGHT SERGEANT ARULLAPPA THOMAS,Flight Sergeant ,Arullappa Thomas,flight-sergeant-arullappa-thomas,Vir Chakra,http://gallantryawards.gov.in/Awardee/flight-sergeant-arullappa-thomas
FLT LT ABDUL NASIR HANFEE,Flt Lt ,Abdul Nasir Hanfee,abdul-nasir-hanfee,Vir Chakra,http://gallantryawards.gov.in/Awardee/abdul-nasir-hanfee
FLT LT ANTHONY IGNATIUS KENNETH SUARES,Flt Lt ,Anthony Ignatius Kenneth Suares,flt-lt-anthony-ignatius-kenneth-suares,Vir Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-anthony-ignatius-kenneth-suares
FLT LT LESLIE RICHARD DICKENSON BLUNT,Flt Lt ,Leslie Richard Dickenson Blunt,flt-lt-leslie-richard-dickenson-blunt,Vir Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-leslie-richard-dickenson-blunt
FLT LT RANDHIR SINGH,Flt Lt ,Randhir Singh,flt-lt-randhir-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-randhir-singh
FLT LT ROSHAN LAL SURI,Flt Lt ,Roshan Lal Suri,flt-lt-roshan-lal-suri,Vir Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-roshan-lal-suri
FLT LT VONTHIBETTU PRABHAKARA HEGDE,Flt Lt ,Vonthibettu Prabhakara Hegde,flt-lt-vonthibettu-prabhakara-hegde,Vir Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-vonthibettu-prabhakara-hegde
FLYING OFFICER (NOW SQUADRON LEADER),Flying Officer (now Squadron Leader),George Douglas Clarke,flying-officer-now-squadron-leader,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-now-squadron-leader
FLYING OFFICER (NOW SQUADRON LEADER) NARASIMHA MURTHY,Flying Officer (now Squadron Leader) ,Narasimha Murthy,flying-officer-now-squadron-leader-narasimha-murthy,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-now-squadron-leader-narasimha-murthy
FLYING OFFICER ADI RUSTOMJI GHANDHI,Flying Officer ,Adi Rustomji Ghandhi,flying-officer-adi-rustomji-ghandhi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-adi-rustomji-ghandhi
FLYING OFFICER BALLACHANDRA CHENGAPA KARUMBAYA,Flying Officer ,Ballachandra Chengapa Karumbaya,flying-officer-ballachandra-chengapa-karumbaya,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-ballachandra-chengapa-karumbaya
FLYING OFFICER BARTAN RAMESH,Flying Officer ,Bartan Ramesh,flying-officer-bartan-ramesh,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-bartan-ramesh
"FLYING OFFICER DENNIS OMAN BARTY, (3129) G.D.","Flying Officer , (3129) G.D.",Dennis Oman Barty,flying-officer-dennis-oman-barty-3129-gd,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-dennis-oman-barty-3129-gd
FLYING OFFICER DONALD LAZARUS,Flying Officer ,Donald Lazarus,flying-officer-donald-lazarus,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-donald-lazarus
FLYING OFFICER GB CABRAL,Flying Officer Gb Cabral,G B Cabral,flying-officer-gb-cabral,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-gb-cabral
FLYING OFFICER GEOFFERY CHARLES WILKS,Flying Officer ,Geoffery Charles Wilks,flying-officer-geoffery-charles-wilks,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-geoffery-charles-wilks
FLYING OFFICER HARISH MASAND,Flying Officer ,Harish Masand,flying-officer-harish-masand,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-harish-masand
FLYING OFFICER JAI SINGH GAHALAWAT,Flying Officer ,Jai Singh Gahalawat,flying-officer-jai-singh-gahalawat,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-jai-singh-gahalawat
FLYING OFFICER KARIYADIL CHERIYAN KURUVILLA,Flying Officer ,Kariyadil Cheriyan Kuruvilla,flying-officer-kariyadil-cheriyan-kuruvilla,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-kariyadil-cheriyan-kuruvilla
FLYING OFFICER KISHAN LAKHIMAL MALKANI,Flying Officer ,Kishan Lakhimal Malkani,flying-officer-kishan-lakhimal-malkani,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-kishan-lakhimal-malkani
FLYING OFFICER MOHAN DISHIT,Flying Officer ,Mohan Dishit,flying-officer-mohan-dishit,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-mohan-dishit
FLYING OFFICER SANKARNARAYANAN BALASUBRAMANIAN,Flying Officer ,Sankarnarayanan Balasubramanian,flying-officer-sankarnarayanan-balasubramanian,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-sankarnarayanan-balasubramanian
FLYING OFFICER SATISH CHANDRA SHARMA,Flying Officer ,Satish Chandra Sharma,flying-officer-satish-chandra-sharma,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-satish-chandra-sharma
FLYING OFFICER SUBODH CHANDRA MAMGAIN,Flying Officer ,Subodh Chandra Mamgain,flying-officer-subodh-chandra-mamgain,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-subodh-chandra-mamgain
FLYING OFFICER SUDHIR TYAGI,Flying Officer ,Sudhir Tyagi,flying-officer-sudhir-tyagi,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-sudhir-tyagi
FLYING OFFICER SUKHDEV SINGH DHILLON,Flying Officer ,Sukhdev Singh Dhillon,flying-officer-sukhdev-singh-dhillon,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-sukhdev-singh-dhillon
FLYING OFFICER UTPAL BARBARA,Flying Officer ,Utpal Barbara,flying-officer-utpal-barbara,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-utpal-barbara
FLYING OFFICER VINOD KUMAR NEB,Flying Officer ,Vinod Kumar Neb,flying-officer-vinod-kumar-neb,Vir Chakra,http://gallantryawards.gov.in/Awardee/flying-officer-vinod-kumar-neb
GDMN BRIJ LAL,Gdmn ,Brij Lal,brij-lal,Vir Chakra,http://gallantryawards.gov.in/Awardee/brij-lal
GDMN DAMBAR BAHADUR CHHETRI,Gdmn ,Dambar Bahadur Chhetri,dambar-bahadur-chhetri,Vir Chakra,http://gallantryawards.gov.in/Awardee/dambar-bahadur-chhetri
GDMN RAJASEB BABU MANIYAR,Gdmn ,Rajaseb Babu Maniyar,rajaseb-babu-maniyar,Vir Chakra,http://gallantryawards.gov.in/Awardee/rajaseb-babu-maniyar
GDR GORAKH RAM,Gdr ,Gorakh Ram,gorakh-ram,Vir Chakra,http://gallantryawards.gov.in/Awardee/gorakh-ram
GDR GURBAX SINGH,Gdr ,Gurbax Singh,gurbax-singh-0,Vir Chakra,http://gallantryawards.gov.in/Awardee/gurbax-singh-0
GDR MANGAL SINGH,Gdr ,Mangal Singh,mangal-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/mangal-singh
GDR MURAD KHAN,Gdr ,Murad Khan,murad-khan,Vir Chakra,http://gallantryawards.gov.in/Awardee/murad-khan
GDR RAFIQ KHAN,Gdr ,Rafiq Khan,rafiq-khan,Vir Chakra,http://gallantryawards.gov.in/Awardee/rafiq-khan
GDR RAM KUMAR,Gdr ,Ram Kumar,ram-kumar,Vir Chakra,http://gallantryawards.gov.in/Awardee/ram-kumar
GDRS AMRIT,Gdrs Amrit,S Amrit,amrit,Vir Chakra,http://gallantryawards.gov.in/Awardee/amrit
GNR AJIT SINGH,Gnr ,Ajit Singh,ajit-singh-4,Vir Chakra,http://gallantryawards.gov.in/Awardee/ajit-singh-4
GNR ARMUGAM,Gnr ,Armugam,armugam,Vir Chakra,http://gallantryawards.gov.in/Awardee/armugam
GNR BHADRESWAR PATHAK,Gnr ,Bhadreswar Pathak,bhadreswar-pathak,Vir Chakra,http://gallantryawards.gov.in/Awardee/bhadreswar-pathak
GNR E.JOSEPH,Gnr E.Joseph,E. Joseph,ejoseph,Vir Chakra,http://gallantryawards.gov.in/Awardee/ejoseph
GNR S PAKKIR MOHAMMED,Gnr ,S Pakkir Mohammed,s-pakkir-mohammed,Vir Chakra,http://gallantryawards.gov.in/Awardee/s-pakkir-mohammed
GNR SAJEEV GOPALA PILLAI,Gnr ,Sajeev Gopala Pillai,sajeev-gopala-pillai,Vir Chakra,http://gallantryawards.gov.in/Awardee/sajeev-gopala-pillai
GNR TEK RAM,Gnr Tek Ram,G N R Tek Ram,tek-ram,Vir Chakra,http://gallantryawards.gov.in/Awardee/tek-ram
GNR VELUMUTHU,Gnr ,Velumuthu,velumuthu,Vir Chakra,http://gallantryawards.gov.in/Awardee/velumuthu
GROUP CAPTAIN (NOW AIR VICE MARSHAL) RANJAN DUTT,Group Captain (now Air Vice Marshal) ,Ranjan Dutt,group-captain-now-air-vice-marshal-ranjan-dutt,Vir Chakra,http://gallantryawards.gov.in/Awardee/group-captain-now-air-vice-marshal-ranjan-dutt
GROUP CAPTAIN KARORI LAL BHATIA,Group Captain ,Karori Lal Bhatia,group-captain-karori-lal-bhatia,Vir Chakra,http://gallantryawards.gov.in/Awardee/group-captain-karori-lal-bhatia
GROUP CAPTAIN ROBERT ARNOLD WEIR,Group Captain ,Robert Arnold Weir,group-captain-robert-arnold-weir,Vir Chakra,http://gallantryawards.gov.in/Awardee/group-captain-robert-arnold-weir
H COTBL MOHINDER SINGH,H Cotbl ,Mohinder Singh,mohinder-singh-7,Vir Chakra,http://gallantryawards.gov.in/Awardee/mohinder-singh-7
HAV AJIT SINGH,Hav ,Ajit Singh,ajit-singh-7,Vir Chakra,http://gallantryawards.gov.in/Awardee/ajit-singh-7
HAV Ajmer Singh,Hav ,Ajmer Singh,ajmer-singh,Vir Chakra,http://gallantryawards.gov.in/Awardee/ajmer-singh
HAV AMAR SINGH,Hav ,Amar Singh,amar-singh-0,Vir Chakra,http://gallantryawards.gov.in/Awardee/amar-singh-0
HAV AMRUT GAMRE,Hav ,Amrut Gamre,amrut-gamre,Vir Chakra,http://gallantryawards.gov.in/Awardee/amrut-gamre
HAV ATHANIKAL BACIL JESUDASAN,Hav ,Athanikal Bacil Jesudasan,athanikal-bacil-jesudasan,Vir Chakra,http://gallantryawards.gov.in/Awardee/athanikal-bacil-jesudasan
HAV BALWANT SINGH,Hav ,Balwant Singh,balwant-singh-2,Vir Chakra,http://gallantryawards.gov.in/Awardee/balwant-singh-2
HAV BHAG SINGH,Hav ,Bhag Singh,bhag-singh-1,Vir Chakra,http://gallantryawards.gov.in/Awardee/bhag-singh-1
HAV BHIM BAHADUR DEWAN,Hav ,Bhim Bahadur Dewan,bhim-bahadur-dewan,Vir Chakra,http://gallantryawards.gov.in/Awardee/bhim-bahadur-dewan
HAV BHIM BAHADUR THAPA,Hav ,Bhim Bahadur Thapa,bhim-bahadur-thapa-1,Vir Chakra,http://gallantryawards.gov.in/Awardee/bhim-bahadur-thapa-1
HAV BUDHI BALLABH,Hav ,Budhi Ballabh,budhi-ballabh,Vir Chakra,http://gallantryawards.gov.in/Awardee/budhi-ballabh
HAV C PERUMAL,Hav ,C Perumal,c-perumal,Vir Chakra,http://gallantryawards.gov.in/Awardee/c-perumal
HAV CHANIRI CHAND,Hav ,Chaniri Chand,chaniri-chand,Vir Chakra,http://gallantryawards.gov.in/Awardee/chaniri-chand
